Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
10000;10000;B2;"heed; listen (to)";"tenir compte; écouter; prêter l'oreille (à)";прислушаться;;;;;;совер.;прислушиваться/прислушаться;возврат.;;прислушаюсь;прислушаешься;прислушается;прислушаетесь;прислушаемся;прислушаются;прислушайся;прислушайтесь;прислушаясь;прислушавшись;прислушающийся;прислушавшийся;прислушающийся;прислушавшийся;;
844;4839;B2;"envisage; forsee";"envisager; prévoir";предусматривать;;;;;;несовер.;предусматривать/предусмотреть;;;предусматриваю;предусматриваешь;предусматривает;предусматриваете;предусматриваем;предусматривают;предусматривай;предусматривайте;предусматривая;предусматривав;предусматривающий;предусматривавший;предусматриваемый;;;
10000;10000;B2;"envisage; forsee";"envisager; prévoir";предусмотреть;;;;;;совер.;предусматривать/предусмотреть;;;предусмотрю;предусмотришь;предусмотрит;предусмотрите;предусмотрим;предусмотрят;предусмотри;предусмотрите;;предусмотрев, *предусмотревши;;предусмотревший;;предусмотренный;;
845;4854;B2;"glance (at); peep (in)";"regarder quelque part; jeter un coup d'œil";заглядывать;;;;;;несовер.;заглядывать/заглянуть;;действит.;заглядываю;заглядываешь;заглядывает;заглядываете;заглядываем;заглядывают;заглядывай;заглядывайте;заглядывая;заглядывав;заглядывающий;заглядывавший;заглядывающий;заглядывавший;;
10000;10000;B2;"glance (at); peep (in)";"regarder quelque part; jeter un coup d'œil";заглянуть;;;;;;совер.;заглядывать/заглянуть;;действит.;загляну;заглянешь;заглянет;заглянете;заглянем;заглянут;загляни;загляните;;заглянув, *заглянувши;;заглянувший;;;;
846;4862;B2;"feel embarrased; hesitate";être embarassé;стесняться;;;;;;несовер.;стесняться/постесняться;возврат.;;стесняюсь;стесняешься;стесняется;стесняетесь;стесняемся;стесняются;стесняйся;стесняйтесь;стесняясь;стеснявшись;стесняющийся;стеснявшийся;стесняющийся;стеснявшийся;;
10000;10000;B2;"feel embarrased; hesitate";être embarassé;постесняться;;;;;;совер.;стесняться/постесняться;возврат.;;постесняюсь;постесняешься;постесняется;постесняетесь;постесняемся;постесняются;постесняйся;постесняйтесь;;постеснявшись;;постеснявшийся;;;;
847;4876;B2;pile up, cause;déposer, causer;наносить;;;;;;несовер.;наносить/нанести;;;наношу;наносишь;наносит;наносите;наносим;наносят;наноси;наносите;;наносив;;наносивший;;наношенный;;
10000;10000;B2;pile up, cause;déposer, causer;нанести;;;неправ.;;;совер.;наносить/нанести;;;нанесу;нанесёшь;нанесёт;нанесёте;нанесём;нанесут;нанеси;нанесите;;нанеся, *нанёсши;;нанёсший;;нанесённый;;
848;4880;B2;"sparkle; twinkle";"étinceler; briller";сверкать;;;;;;несовер.;сверкать/сверкнуть;;действит.;сверкаю;сверкаешь;сверкает;сверкаете;сверкаем;сверкают;сверкай;сверкайте;сверкая;сверкав;сверкающий;сверкавший;сверкающий;сверкавший;;
