Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
1;10;A1;"be; happen";"être; exister";быть;;;неправ.;;;несовер.;;;действит.;есть;есть;есть;есть;есть;есть;будь;будьте;будучи;быв;;бывший;;;;
2;29;A1;"be able; can";"être capable; pouvoir";мочь;;;неправ.;;К,Г;несовер.;мочь/смочь;;действит.;могу;можешь;может;можете;можем;могут;моги;могите;;могши;могущий;могший;могущий;могший;;
3;45;A1;"say; tell";dire;сказать;;;;1;А;совер.;говорить/сказать;;;скажу;скажешь;скажет;скажете;скажем;скажут;скажи;скажите;;сказав;;сказавший;;сказанный;;
4;48;A1;"be able to speak; talk";"parler; causer";говорить;;;;2;И;несовер.;говорить/сказать;;;говорю;говоришь;говорит;говорите;говорим;говорят;говори;говорите;говоря;говорив;говорящий;говоривший;;;;
5;49;A1;"know; be aware (of)";"connaître; savoir";знать;;;;1;АЙ;несовер.;;;;знаю;знаешь;знает;знаете;знаем;знают;знай;знайте;зная;знав;знающий;знавший;;;;
6;61;A1;"want; like";"vouloir; avoir envie (de)";хотеть;;;неправ.;;;несовер.;хотеть/захотеть;;;хочу;хочешь;хочет;хотите;хотим;хотят;;;хотя;хотев;хотящий;хотевший;;;;
7;70;A1;"have; possess";avoir;иметь;;;;1;ЕЙ;несовер.;;;;имею;имеешь;имеет;имеете;имеем;имеют;имей;имейте;имея;имев;имеющий;имевший;;;;
8;85;A1;make;faire;сделать;;;;1;АЙ;совер.;делать/сделать;;;сделаю;сделаешь;сделает;сделаете;сделаем;сделают;сделай;сделайте;;сделав;;сделавший;;сделанный;;
9;86;A1;"go; come";"aller; venir";идти;;;неправ.;;;несовер.;идти/пойти;;действит.;иду;идёшь;идёт;идёте;идём;идут;иди;идите;идя;шедши;идущий;шедший;идущий;шедший;;
10;88;A1;make;faire;делать;;;;1;АЙ;несовер.;делать/сделать;;;делаю;делаешь;делает;делаете;делаем;делают;делай;делайте;делая;делав;делающий;делавший;делаемый;деланный;;
11;91;A1;see;voir;видеть;;;;2;Е;несовер.;видеть/увидеть;;;вижу;видишь;видит;видите;видим;видят;;;видя;видев;видящий;видевший;видимый;виденный;;
12;92;A1;think (about, of);"penser (à); songer";думать;;;;1;АЙ;несовер.;думать/подумать;;;думаю;думаешь;думает;думаете;думаем;думают;думай;думайте;думая;думав;думающий;думавший;думающий;думавший;;
13;98;A1;"work; function";travailler;работать;;;;1;АЙ;несовер.;;;;работаю;работаешь;работает;работаете;работаем;работают;работай;работайте;работая;работав;работающий;работавший;работающий;работавший;;
14;100;A1;"live; reside";vivre;жить;;;неправ.;;В;несовер.;;;;живу;живёшь;живёт;живёте;живём;живут;живи;живите;живя;жив;живущий;живший;;;;
15;106;A1;"look; look (at)";"regarder; envisager";смотреть;;;;;;несовер.;смотреть/посмотреть;;;смотрю;смотришь;смотрит;смотрите;смотрим;смотрят;смотри;смотрите;смотря;смотрев;смотрящий;смотревший;;смотренный;;
16;112;A1;"understand; comprehend";"comprendre; concevoir";понимать;;;;1;АЙ;несовер.;понимать/понять;;;понимаю;понимаешь;понимает;понимаете;понимаем;понимают;понимай;понимайте;понимая;понимав;понимающий;понимавший;понимаемый;;;
10000;10000;A1;"understand; comprehend";"comprendre; saisir";понять;;;неправ.;;;совер.;понимать/понять;;;пойму;поймёшь;поймёт;поймёте;поймём;поймут;пойми;поймите;;поняв, *понявши;;понявший;;понятый;;
17;118;A1;begin;"aller; (re)venir";пойти;;;неправ.;;;совер.;идти/пойти;;действит.;пойду;пойдёшь;пойдёт;пойдёте;пойдём;пойдут;пойди;пойдите;;;;пошедший;;;;
18;119;A1;love;"aimer; chérir";любить;;;;;;несовер.;;;;люблю;любишь;любит;любите;любим;любят;люби;любите;любя;любив;любящий;любивший;;любленный;;
19;126;A1;write;"écrire; dactylographier";писать;;;;;;несовер.;писать/написать;;;пишу;пишешь;пишет;пишете;пишем;пишут;пиши;пишите;;писав;пишущий;писавший;;писанный;;
20;127;A1;"sit; be perched";"être assis; être perché";сидеть;;;;1;Б,Д,Т;несовер.;;;;сижу;сидишь;сидит;сидите;сидим;сидят;сиди;сидите;сидя;сидев;сидящий;сидевший;сидящий;сидевший;;
21;129;A1;stand;"se tenir debout; être debout";стоять;;;;2;Й-А;несовер.;;;действит.;стою;стоишь;стоит;стоите;стоим;стоят;стой;стойте;стоя;стояв;стоящий;стоявший;стоящий;стоявший;;
22;131;A1;cost;"coûter; valoir";стоить;;;;;;несовер.;;;действит.;стою;стоишь;стоит;стоите;стоим;стоят;стой;стойте;стоя;стоив;стоящий;стоивший;стоящий;стоивший;;
23;138;A1;give;"donner; prêter";давать;;;;1;ДА, СТА-ЗНА;несовер.;давать/дать;;;даю;даёшь;даёт;даёте;даём;дают;давай;давайте;давая;давав;дающий;дававший;даваемый;;;
10000;10000;A1;give;"donner; prêter";дать;;;неправ.;;;совер.;давать/дать;;;дам;дашь;даст;дадите;дадим;дадут;дай;дайте;;дав, *давши;;давший;;данный;;
24;146;A1;"write; type";écrire;написать;;;;1;;совер.;писать/написать;;;написаю;написаешь;написает;написаете;написаем;написают;написай;написайте;;написав;;написавший;;;;
25;155;A1;"begin; start (with)";"commencer; entreprendre";начинать;;;;1;;несовер.;начинать/начать;;;начинаю;начинаешь;начинает;начинаете;начинаем;начинают;начинай;начинайте;начиная;начинав;начинающий;начинавший;начинаемый;;;
10000;10000;A1;"begin; start (with)";"commencer; entreprendre";начать;;;неправ.;;;совер.;начинать/начать;;;начну;начнёшь;начнёт;начнёте;начнём;начнут;начни;начните;;начав, *начавши;;начавший;;начатый;;
26;163;A1;"wait (for); expect";"attendre; s'attendre (à)";ждать;;;;;;несовер.;;;;жду;ждёшь;ждёт;ждёте;ждём;ждут;жди;ждите;;ждав;ждущий;ждавший;;жданный;;
27;165;A1;read;"lire; réciter";читать;;;;1;;несовер.;читать/прочесть;;;читаю;читаешь;читает;читаете;читаем;читают;читай;читайте;читая;читав;читающий;читавший;читаемый;читанный;;
28;180;A1;"remember; recollect";"se souvenir de; se rappeler";помнить;;;;2;;несовер.;;;;помню;помнишь;помнит;помните;помним;помнят;помни;помните;помня;помнив;помнящий;помнивший;;помненный;;
29;181;A1;"name; call";"nommer; appeler";называть;;;;;;несовер.;называть/назвать;;;называю;называешь;называет;называете;называем;называют;называй;называйте;называя;называв;называющий;называвший;называемый;;;
10000;10000;A1;"call; name";"nommer; appeler";назвать;;;;;;совер.;называть/назвать;;;назову;назовёшь;назовёт;назовёте;назовём;назовут;назови;назовите;;назвав, *назвавши;;назвавший;;названный;;
30;191;A1;"play; act";jouer;играть;;;;;;несовер.;играть/сыграть;;;играю;играешь;играет;играете;играем;играют;играй;играйте;играя;играв;играющий;игравший;играемый;игранный;;
10000;10000;A1;"play; act";"jouer; exécuter";сыграть;;;;;;совер.;играть/сыграть;;;сыграю;сыграешь;сыграет;сыграете;сыграем;сыграют;сыграй;сыграйте;;сыграв, *сыгравши;;сыгравший;;;;
31;192;A1;"occupy / busy oneself; be occupied";s'occuper de;заниматься;;;;;;несовер.;заниматься/заняться;возврат.;;занимаюсь;занимаешься;занимается;занимаетесь;занимаемся;занимаются;;;;;занимающийся;занимавшийся;занимающийся;занимавшийся;;
10000;10000;A1;"occupy / busy oneself; be occupied";s'occuper de;заняться;;;неправ.;;;совер.;заниматься/заняться;возврат.;;займусь;займёшься;займётся;займётесь;займёмся;займутся;займись;займитесь;ся;заняв, *занявшись;;занявшийся;;занятыйся;;
32;194;A1;lie;être couché;лежать;;;;;;несовер.;;;;лежу;лежишь;лежит;лежите;лежим;лежат;лежи;лежите;лёжа;лежав;лежащий;лежавший;лежащий;лежавший;;
33;199;A1;"go; walk";marcher;ходить;;;;;;несовер.;ходить/пойти;;действит.;хожу;ходишь;ходит;ходите;ходим;ходят;ходи;ходите;ходя;ходив;ходящий;ходивший;ходящий;ходивший;;
34;201;A1;"answer; reply (to)";"répondre; répliquer";отвечать;;;;;;несовер.;отвечать/ответить;;;отвечаю;отвечаешь;отвечает;отвечаете;отвечаем;отвечают;отвечай;отвечайте;отвечая;отвечав;отвечающий;отвечавший;отвечаемый;;;
10000;10000;A1;"answer; reply (to)";"répondre; répliquer";ответить;;;;;;совер.;отвечать/ответить;;;отвечу;ответишь;ответит;ответите;ответим;ответят;ответь;ответьте;;ответив, *ответивши;;ответивший;;отвеченный;;
35;204;A1;"ask; beg";"demander; réclamer";просить;;;;;;несовер.;просить/попросить;;;прошу;просишь;просит;просите;просим;просят;проси;просите;прося;просив;просящий;просивший;;прошенный;;
10000;10000;A1;"ask; beg";"demander; réclamer";попросить;;;;;;совер.;просить/попросить;;;попрошу;попросишь;попросит;попросите;попросим;попросят;попроси;попросите;;попросив, *попросивши;;попросивший;;попрошенный;;
36;205;A1;"go out; come out";"sortir de; descendre";выходить;;;;;;несовер.;выходить/выйти;;;выхожу;выходишь;выходит;выходите;выходим;выходят;выходи;выходите;;выходив;;выходивший;;выхоженный;;
10000;10000;A1;"go out; come out";"sortir de; descendre";выйти;;;неправ.;;;совер.;выходить/выйти;;действит.;выйду;выйдешь;выйдет;выйдете;выйдем;выйдут;выйди;выйдите;;выйдя;;вышедший;;;;
37;206;A1;"receive; get";"recevoir; toucher";получать;;;;;;несовер.;получать/получить;;;получаю;получаешь;получает;получаете;получаем;получают;получай;получайте;получая;получав;получающий;получавший;получаемый;;;
10000;10000;A1;"find; take";"recevoir; toucher";получить;;;;;;совер.;получать/получить;;;получу;получишь;получит;получите;получим;получат;получи;получите;;получив, *получивши;;получивший;;полученный;;
38;212;A1;"come; arrive";"venir; arriver";приходить;;;;;;несовер.;приходить/прийти;;действит.;прихожу;приходишь;приходит;приходите;приходим;приходят;приходи;приходите;приходя;приходив;приходящий;приходивший;приходящий;приходивший;;
10000;10000;A1;"come; arrive";"venir; arriver";прийти;;;неправ.;;;совер.;приходить/прийти;;действит.;приду;придёшь;придёт;придёте;придём;придут;приди, приходи;придите, приходите;;придя;;пришедший;;;;
39;215;A1;"be asleep; sleep";"dormir; coucher";спать;;;неправ.;;;несовер.;;;;сплю;спишь;спит;спите;спим;спят;спи;спите;;спав;спящий;спавший;спящий;спавший;;
40;217;A1;"take; shoulder";prendre;брать;;;;;;несовер.;брать/взять;;;беру;берёшь;берёт;берёте;берём;берут;бери;берите;беря;брав;берущий;бравший;;;;
41;222;A1;"buy; purchase";acheter;купить;;;;;;совер.;покупать/купить;;;куплю;купишь;купит;купите;купим;купят;купи;купите;;купив;;купивший;;купленный;;
42;226;A1;"listen (to); hear";"écouter; entendre";слушать;;;;;;несовер.;слушать/послушать;;;слушаю;слушаешь;слушает;слушаете;слушаем;слушают;слушай;слушайте;слушая;слушав;слушающий;слушавший;слушаемый;слушанный;;
10000;10000;A1;listen (for a while);"écouter; entendre";послушать;;;;;;совер.;слушать/послушать;;;послушаю;послушаешь;послушает;послушаете;послушаем;послушают;послушай;послушайте;;послушав, *послушавши;;послушавший;;послушанный;;
43;235;A1;"tell; relate";"raconter; conter";рассказывать;;;;;;несовер.;рассказывать/рассказать;;;рассказываю;рассказываешь;рассказывает;рассказываете;рассказываем;рассказывают;рассказывай;рассказывайте;рассказывая;рассказывав;рассказывающий;рассказывавший;рассказываемый;;;
10000;10000;A1;"tell; relate";"raconter; conter";рассказать;;;;;;совер.;рассказывать/рассказать;;;расскажу;расскажешь;расскажет;расскажете;расскажем;расскажут;расскажи;расскажите;;рассказав, *рассказавши;;рассказавший;;рассказанный;;
44;237;A1;"leave; go away";"s'en aller; se retirer";уходить;;;;;;несовер.;уходить/уйти;;;ухожу;уходишь;уходит;уходите;уходим;уходят;уходи;уходите;;уходив;;уходивший;;ухоженный;;
10000;10000;A1;"leave; go away / off";"s'en aller; se retirer";уйти;;;неправ.;;;совер.;уходить/уйти;;действит.;уйду;уйдёшь;уйдёт;уйдёте;уйдём;уйдут;уйди;уйдите;;уйдя;;ушедший;;;;
45;238;A1;"ask; inquire";"demander; interroger";спрашивать;;;;;;несовер.;спрашивать/спросить;;;спрашиваю;спрашиваешь;спрашивает;спрашиваете;спрашиваем;спрашивают;спрашивай;спрашивайте;спрашивая;спрашивав;спрашивающий;спрашивавший;спрашиваемый;;;
10000;10000;A1;"ask; inquire";"demander; interroger";спросить;;;;2;И;совер.;спрашивать/спросить;;;спрошу;спросишь;спросит;спросите;спросим;спросят;спроси;спросите;;спросив, *спросивши;;спросивший;;спрошенный;;
46;240;A1;go (by vehicule, unidirectional);aller (en véhicule, unidirectionnellement);ехать;;;;;;несовер.;ехать/поехать;;действит.;еду;едешь;едет;едете;едем;едут;езди, езжай, поезжай;ездите, езжайте, поезжайте;;ехав;едущий;ехавший;едущий;ехавший;;
47;241;A1;"please; like";"plaire; goûter";нравиться;;;;;;несовер.;нравиться/понравиться;возврат.;;нравлюсь;нравишься;нравится;нравитесь;нравимся;нравятся;нравься;нравьтесь;нравясь;нравившись;нравящийся;нравившийся;нравящийся;нравившийся;;
48;253;A1;"drink; have";boire;пить;;;;;;несовер.;пить/выпить;;;пью;пьёшь;пьёт;пьёте;пьём;пьют;пей;пейте;;пив;пьющий;пивший;;питый;;
10000;10000;A1;"drink; have";"boire; prendre";выпить;;;;;;совер.;пить/выпить;;;выпью;выпьешь;выпьет;выпьете;выпьем;выпьют;выпей;выпейте;;выпив, *выпивши;;выпивший;;выпитый;;
49;268;A1;"enter; go in(to)";"entrer; pénétrer";входить;;;;;;несовер.;входить/войти;;действит.;вхожу;входишь;входит;входите;входим;входят;входи;входите;входя;входив;входящий;входивший;входящий;входивший;;
10000;10000;A1;"enter; go in(to)";"entrer; pénétrer";войти;;;неправ.;;;совер.;входить/войти;;действит.;войду;войдёшь;войдёт;войдёте;войдём;войдут;войди;войдите;;войдя;;вошедший;;;;
50;269;A1;"be able; know how";"savoir; pouvoir";уметь;;;;;;несовер.;уметь/суметь;;действит.;умею;умеешь;умеет;умеете;умеем;умеют;умей;умейте;умея;умев;умеющий;умевший;умеющий;умевший;;
51;273;A1;"help; aid";"assister; seconder";помогать;;;;;;несовер.;помогать/помочь;;действит.;помогаю;помогаешь;помогает;помогаете;помогаем;помогают;помогай;помогайте;помогая;помогав;помогающий;помогавший;помогающий;помогавший;;
10000;10000;A1;"help; aid";"assister; seconder";помочь;;;неправ.;;;совер.;помогать/помочь;;действит.;помогу;поможешь;поможет;поможете;поможем;помогут;помоги;помогите;;помогши;;помогший;;;;
52;287;A1;"learn; study";"apprendre; étudier";учиться;;;;;;несовер.;учиться/выучиться;возврат.;;учусь;учишься;учится;учитесь;учимся;учатся;учись;учитесь;учась;учившись;учащийся;учившийся;учащийся;учившийся;;
10000;10000;A1;learn;apprendre à;выучиться;;;;;;совер.;учиться/выучиться;возврат.;;выучусь;выучишься;выучится;выучитесь;выучимся;выучатся;выучись;выучитесь;;выучившись;;выучившийся;;;;
53;296;A1;"sit down; sit up";"s'asseoir; prendre place";сесть;;;неправ.;;;совер.;садиться/сесть;;;сяду;сядешь;сядет;сядете;сядем;сядут;сядь;сядьте;;сев;;севший;;;;
54;299;A1;"signify; mean";"signifier; dénoter";означать;;;неправ.;;;несовер.;;;;означаю;означаешь;означает;означаете;означаем;означают;означай;означайте;означая;означав;означающий;означавший;означаемый;;;
55;303;A1;"put; place";"mettre; poser";ставить;;;;;;несовер.;ставить/поставить;;;ставлю;ставишь;ставит;ставите;ставим;ставят;ставь;ставьте;ставя;ставив;ставящий;ставивший;ставимый;ставленный;;
56;306;A1;"call oneself; be called";"s'appeler; se nommer";называться;;;;;;несовер.;называться/назваться;возврат.;;называюсь;называешься;называется;называетесь;называемся;называются;;;;;называющийся;называвшийся;называющийся;называвшийся;;
10000;10000;A1;"call oneself (smb. / smth.); be called";se nommer;назваться;;;;;;совер.;называться/назваться;возврат.;;назовусь;назовёшься;назовётся;назовётесь;назовёмся;назовутся;назовись;назовитесь;;назвавшись;;назвавшийся;;;;
57;311;A1;run;courir;бежать;;;;;;несовер.;бежать/побежать;;действит.;бегу;бежишь;бежит;бежите;бежим;бегут;беги;бегите;;бежав;бегущий;бежавший;бегущий;бежавший;;
10000;10000;A1;"run; run about";"se mettre à courir; courir";побежать;;;;;;совер.;бежать/побежать;;действит.;побегу;побежишь;побежит;побежите;побежим;побегут;побеги;побегите;;побежав, *побежавши;;побежавший;;;;
58;314;A1;"put; lay (down)";"mettre; poser";положить;;;неправ.;;;совер.;класть/положить;;;положу;положишь;положит;положите;положим;положат;положи;положите;;положив, положа;;положивший;;положенный;;
59;334;A1;eat;manger;есть;;;неправ.;;;несовер.;есть/съесть;;;ем;ешь;ест;едите;едим;едят;ешь;ешьте;;ев;едящий;евший;;еденный;;
60;339;A1;"begin; start";commencer;начинаться;;;;;;несовер.;начинаться/начаться;возврат.;;начинаюсь;начинаешься;начинается;начинаетесь;начинаемся;начинаются;начинайся;начинайтесь;начинаясь;начинавшись;начинающийся;начинавшийся;начинающийся;начинавшийся;;
10000;10000;A1;"begin; start";commencer;начаться;;;неправ.;;;совер.;начинаться/начаться;возврат.;;начнусь;начнёшься;начнётся;начнётесь;начнёмся;начнутся;начнись;начнитесь;;начавшись;;начавшийся;;;;
61;340;A1;"mean; signify";"signifier; vouloir dire";значить;;;;;;несовер.;;;действит.;значу;значишь;значит;значите;значим;значат;значь;значьте;знача;значив;значащий;значивший;;;;
62;364;A1;"ring; chime";sonner;позвонить;;;;;;совер.;звонить/позвонить;;;позвоню;позвонишь;позвонит;позвоните;позвоним;позвонят;позвони;позвоните;;позвонив;;позвонивший;;;;
63;367;A1;"sing; chant";chanter;петь;;;;;;несовер.;петь/спеть;;;пою;поёшь;поёт;поёте;поём;поют;пой;пойте;;пев;поющий;певший;;петый;;
10000;10000;A1;ripen;"mûrir; devenir mûr";спеть;;;;;;совер.;петь/спеть;;;спою;споёшь;споёт;споёте;споём;споют;спой;спойте;;спев, *спевши;;спевший;;;;
64;372;A1;"please; like";plaire;понравиться;;;;;;совер.;нравиться/понравиться;возврат.;;понравлюсь;понравишься;понравится;понравитесь;понравимся;понравятся;понравься;понравьтесь;;понравившись;;понравившийся;;;;
65;377;A1;be born;naître;родиться;;;неправ.;;;не/совер.;;возврат.;;рожусь;родишься;родится;родитесь;родимся;родятся;родись;родитесь;родясь;;родящийся, рожающийся;;родящийся, рожающийся;;;
10000;10000;A1;give birth (to);"mettre au monde; accoucher de";родить;;;неправ.;;;совер.;родиться/родить;;;рожу;родишь;родит;родите;родим;родят;роди;родите;рожая, рождая, *родя;-;родящий, рожающий;рожавший, *родивший;родимый, рожаемый;;;
66;383;A1;read (for some time);"lire; réciter";прочитать;;;;;;совер.;прочитывать/прочитать;;;прочитаю;прочитаешь;прочитает;прочитаете;прочитаем;прочитают;прочитай;прочитайте;;прочитав;;прочитавший;;прочитанный;;
10000;10000;A1;"to recite; to read through";"lire; réciter";прочитывать;;;;;;несовер.;прочитывать/прочитать;;;прочитываю;прочитываешь;прочитывает;прочитываете;прочитываем;прочитывают;прочитывай;прочитывайте;прочитывая;прочитывав, *прочитывавши;прочитывающий;прочитывавший;прочитываемый;;;
67;385;A1;"fall; drop";tomber;падать;;;;;;несовер.;падать/пасть;;действит.;падаю;падаешь;падает;падаете;падаем;падают;;;падая;падав;падающий;падавший;падающий;падавший;;
10000;10000;A1;"fall; drop";tomber;пасть;;;;;;совер.;падать/пасть;;действит.;паду;падёшь;падёт;падёте;падём;падут;пади;падите;;пав, *павши;;павший;;;;
68;387;A1;"buy; purchase";acheter;покупать;;;;;;несовер.;покупать/купить;;;покупаю;покупаешь;покупает;покупаете;покупаем;покупают;покупай;покупайте;;покупав;;покупавший;;покупанный;;
69;395;A1;open;"ouvrir; découvrir";открывать;;;;;;несовер.;открывать/открыть;;;открываю;открываешь;открывает;открываете;открываем;открывают;открывай;открывайте;открывая;открывав;открывающий;открывавший;открываемый;;;
10000;10000;A1;open;"ouvrir; découvrir";открыть;;;;;;совер.;открывать/открыть;;;открою;откроешь;откроет;откроете;откроем;откроют;открой;откройте;;открыв, *открывши;;открывший;;открытый;;
70;398;A1;"leave (for); depart (from to)";"partir (pour); s'en aller (à)";уехать;;;;;;совер.;уезжать/уехать;;действит.;уеду;уедешь;уедет;уедете;уедем;уедут;уезжай;уезжайте;;уехав;;уехавший;;;;
10000;10000;A1;"leave (for); depart (from to)";"partir (pour); s'en aller (à)";уезжать;;;;;;несовер.;уезжать/уехать;;действит.;уезжаю;уезжаешь;уезжает;уезжаете;уезжаем;уезжают;уезжай;уезжайте;уезжая;-;уезжающий;уезжавший;уезжающий;уезжавший;;
71;405;A1;"take away; take off";"enlever; ôter";снимать;;;;;;несовер.;снимать/снять;;;снимаю;снимаешь;снимает;снимаете;снимаем;снимают;снимай;снимайте;снимая;снимав;снимающий;снимавший;снимаемый;;;
10000;10000;A1;"take away; take off";"enlever; ôter";снять;;;;;;совер.;снимать/снять;;;сниму;снимешь;снимет;снимете;снимем;снимут;сними;снимите;;сняв, *снявши;;снявший;;снятый;;
72;408;A1;"to teach; to instruct";"enseigner à; instruire";учить/научить;;;;;;несовер.;учить/учиться;;;учу;учишь;учит;учите;учим;учат;учи;учите;уча;учив;учащий;учивший;;ученный;;
73;411;A1;be in good health;"se porter bien; prospérer";здравствовать;;;;;;несовер.;;;действит.;здравствую;здравствуешь;здравствует;здравствуете;здравствуем;здравствуют;здравствуй;здравствуйте;здравствуя;здравствовав;здравствующий;здравствовавший;здравствующий;здравствовавший;;
74;419;A1;"explain; illustrate";"expliquer; interpréter";объяснять;;;;;;несовер.;объяснять/объяснить;;;объясняю;объясняешь;объясняет;объясняете;объясняем;объясняют;объясняй;объясняйте;объясняя;объяснявши;объясняющий;объяснявший;объясняемый;;;
10000;10000;A1;"explain; illustrate";"expliquer; interpréter";объяснить;;;;;;совер.;объяснять/объяснить;;;объясню;объяснишь;объяснит;объясните;объясним;объяснят;объясни;объясните;;объяснив, *объяснивши;;объяснивший;;объяснённый;;
75;420;A1;"choose; select";choisir;выбирать;;;;;;несовер.;выбирать/выбрать;;;выбираю;выбираешь;выбирает;выбираете;выбираем;выбирают;выбирай;выбирайте;выбирая;выбирав;выбирающий;выбиравший;выбираемый;;;
10000;10000;A1;"choose; select";choisir;выбрать;;;;;;совер.;выбирать/выбрать;;;выберу;выберешь;выберет;выберете;выберем;выберут;выбери;выберите;;выбрав, *выбравши;;выбравший;;выбранный;;
76;429;A1;"include (in); insert (in)";"insérer dans; porter sur";включать;;;;;;несовер.;включать/включить;;;включаю;включаешь;включает;включаете;включаем;включают;включай;включайте;включая;включав;включающий;включавший;включаемый;;;
10000;10000;A1;"include (in); insert (in)";"insérer dans; porter sur";включить;;;;;;совер.;включать/включить;;;включу;включишь;включит;включите;включим;включат;включи;включите;;включив, *включивши;;включивший;;включённый;;
77;430;A1;"want; like";"vouloir; avoir envie (de)";захотеть;;;неправ.;;;совер.;хотеть/захотеть;;;захочу;захочешь;захочет;захотите;захотим;захотят;захоти;захотите;;захотев;;захотевший;;;;
78;436;A1;forget;oublier;забывать;;;;;;несовер.;забывать/забыть;;;забываю;забываешь;забывает;забываете;забываем;забывают;забывай;забывайте;забывая;забывав;забывающий;забывавший;забываемый;;;
10000;10000;A1;forget;oublier;забыть;;;неправ.;;;совер.;забывать/забыть;;;забуду;забудешь;забудет;забудете;забудем;забудут;забудь;забудьте;;забыв, *забывши;;забывший;;забытый;;
79;444;A1;"bring; fetch";"apporter; aller chercher";приносить;;;;;;несовер.;приносить/принести;;;приношу;приносишь;приносит;приносите;приносим;приносят;приноси;приносите;принося;приносив;приносящий;приносивший;приносимый;;;
10000;10000;A1;"bring; fetch";"apporter; aller chercher";принести;;;неправ.;;;совер.;приносить/принести;;;принесу;принесёшь;принесёт;принесёте;принесём;принесут;принеси;принесите;;принеся, *принёсши;;принёсший;;принесённый;;
80;446;A1;"prepare; cook";préparer;готовить;;;;;;несовер.;готовить/приготовить;;;готовлю;готовишь;готовит;готовите;готовим;готовят;готовь;готовьте;готовя;готовив;готовящий;готовивший;;готовленный;;
10000;10000;A1;"prepare; cook; get / make ready";"préparer; apprêter";приготовить;;;;;;совер.;готовить/приготовить;;;приготовлю;приготовишь;приготовит;приготовите;приготовим;приготовят;приготовь;приготовьте;;приготовив, *приготовивши;;приготовивший;;приготовленный;;
81;448;A1;"cross; go / get over";"passer; traverser";переходить;;;;;;несовер.;переходить/перейти;;действит.;перехожу;переходишь;переходит;переходите;переходим;переходят;переходи;переходите;;переходив;;переходивший;;;;
10000;10000;A1;"cross; go / get over";"passer; traverser";перейти;;;неправ.;;;совер.;переходить/перейти;;;перейду;перейдёшь;перейдёт;перейдёте;перейдём;перейдут;перейди;перейдите;;перейдя;;перешедший;;перейдённый;;
82;457;A1;"repeat; review";"répéter; récapituler";повторять;;;;;;несовер.;повторять/повторить;;;повторяю;повторяешь;повторяет;повторяете;повторяем;повторяют;повторяй;повторяйте;повторяя;повторяв;повторяющий;повторявший;повторяемый;;;
10000;10000;A1;"repeat; review";"répéter; récapituler";повторить;;;;;;совер.;повторять/повторить;;;повторю;повторишь;повторит;повторите;повторим;повторят;повтори;повторите;;повторив, *повторивши;;повторивший;;повторённый;;
83;479;A1;"die; pass away";"mourir; expirer";умирать;;;;;;несовер.;умирать/умереть;;;умираю;умираешь;умирает;умираете;умираем;умирают;умирай;умирайте;умирая;умирав;умирающий;умиравший;умирающий;умиравший;;
10000;10000;A1;"die; pass away";"mourir; expirer";умереть;;;неправ.;;;совер.;умирать/умереть;;;умру;умрёшь;умрёт;умрёте;умрём;умрут;умри;умрите;;умерев, умерши;;умерший;;;;
84;486;A1;"lead; transfer";"conduire; transférer";перевести;;;неправ.;;;совер.;переводить/перевести;;;переведу;переведёшь;переведёт;переведёте;переведём;переведут;переведи;переведите;;переведя;;переведший;;переведённый;;
85;489;A1;"be sick; be ill (with)";être malade;болеть;;;;;;несовер.;;;действит.;болею;болеешь;болеет;болеете;болеем;болеют;болей;болейте;болея;болев;болеющий;болевший;болеющий;болевший;;
86;490;A1;"set; assign";donner;задавать;;;;;;несовер.;задавать/задать;;;задаю;задаёшь;задаёт;задаёте;задаём;задают;задавай;задавайте;задавая;задавав;задающий;задававший;задаваемый;;;
10000;10000;A1;"set; assign";donner;задать;;;неправ.;;;совер.;задавать/задать;;;задам;задашь;задаст;зададите;зададим;зададут;задай;задайте;;задав, *задавши;;задавший;;заданный;;
87;509;A1;pay (for);"payer; verser";заплатить;;;;;;совер.;;;;заплачу;заплатишь;заплатит;заплатите;заплатим;заплатят;заплати;заплатите;;заплатив;;заплативший;;;;
88;519;A1;"go for a walk; walk";se promener;гулять;;;;;;несовер.;;;действит.;гуляю;гуляешь;гуляет;гуляете;гуляем;гуляют;гуляй;гуляйте;гуляя;гуляв;гуляющий;гулявший;гуляющий;гулявший;;
89;528;A1;run;courir;бегать;;;;;;несовер.;бегать/бежать;;действит.;бегаю;бегаешь;бегает;бегаете;бегаем;бегают;бегай;бегайте;бегая;бегав;бегающий;бегавший;бегающий;бегавший;;
90;546;A1;"shut; close";fermer;закрывать;;;;;;несовер.;закрывать/закрыть;;;закрываю;закрываешь;закрывает;закрываете;закрываем;закрывают;закрывай;закрывайте;закрывая;закрывав;закрывающий;закрывавший;закрываемый;;;
